,Object,RelatedVerbs
16,dog,"['bark', 'guard_your_house', 'be_a_pet', 'run', 'guide_a_blind_person', 'sense_danger', 'drink_water', 'guard_property', 'hear_whistling', 'smell_drugs', 'mark_its_territory', 'learn_to_do_tricks', 'dig_up_bones', 'chasing_a_ball', 'fight_a_cat', 'corner_a_cat', 'dig_up_his_bone', 'mother_a_puppy', 'guide_the_blind', 'walk_on_a_leash']"
17,horse,"['pull_a_cart', 'run_in_a_pasture', 'jump_a_fence', 'run_quickly', 'jump_a_barrier', 'carry_a_person', 'drink_water', 'place_second', 'step_high', 'go_away', 'haul_a_cart', 'pull_large_logs_to_a_pile', 'carry_a_man_to_water', 'jump_across_a_fence', 'remember_that_someone_helped_it', 'be_passing_the_field', 'pull_a_wagon', 'go_into_a_stall', 'pull_a_buggy_to_a_picnic', 'pull_a_buggy']"
18,sheep,"['graze', 'live_in_a_field', 'group_together']"
19,cow,"['produce_methane_gas', 'jump_over_the_moon', 'low_for_her_calf', 'low_BY_MOOING', 'blow_his_horn', 'be_a_pet', 'supply_humans_with_milk', 'low_for_her_breakfast', 'low_at_milking_time', 'feed_Calf', 'lie_under_a_tree']"
20,elephant,"['carry_a_trunk', 'forget_to_go_on_the_paper', 'weigh_up_to_14000_pounds', 'to_lift_the_tree', 'remember_water_sources', 'visit_the_grocery_store', 'weight_1000_kilos', 'lift_logs_from_the_ground']"
21,bear,"['hunt_a_rabbit', 'fish_for_salmon', 'winter_over_in_his_den', ""fish_with_it's_paws"", 'swim', 'eat_a_salmon', 'climb_a_tree', 'mother_a_cub', 'mother_her_cubs', 'fish_with_his_bare_paws', 'travel_40_miles_per_day', 'winter_in_a_cave', 'winter_through_winter', 'sleep_all_winter_long']"
22,zebra,[]
23,giraffe,['drink_water']
24,backpack,"['free_your_hands_while_walking', 'carry_a_load']"
25,umbrella,"['shade_people_from_the_sun', 'shade_a_table', 'shade_bathers', 'shade_you_from_the_sun', 'be_any_color', 'shield_one_from_rain_or_sun', 'break_in_high_wind']"
26,handbag,[]
27,tie,[]
28,suitcase,[]
29,frisbee,"['descend_slowly_by_hovering', 'fly']"
30,skis,[]
31,snowboard,[]
32,sports_ball,"['bounce', 'roll_down_hill', 'roll', 'roll_under_a_table', 'break_a_window', 'bounces', 'hit_the_wall', 'roll_down_stairs', 'be_rolling_downhill', 'roll_very_well', 'strike_a_windows', 'play_with', 'happen_to_roll', 'be_a_toy']"
33,kite,"['fly', 'catch_the_wind']"
34,baseball_glove,[]
35,skateboard,['be_streaming_down_a_sidewalk']
36,surfboard,[]
37,wine_glass,['bell_out']
38,banana,[]
39,sandwich,[]
40,orange,"['taste_sour', 'mean_a_fruit_or_a_color']"
41,broccoli,[]
42,carrot,[]
43,hot_dog,[]
44,pizza,[]
45,donut,[]
46,cake,"['dry_out', 'rise_thanks_to_the_yeast', 'look_good_enough_to_eat', 'finish_soon']"
47,couch,"['be_in_the_living_room', 'seat_many_people']"
48,potted_plant,[]
49,mouse,"['spring_a_trap', 'hear_a_cat', 'bell_a_cat', 'enter_a_mousehole', 'ring_a_bell', 'to_eat_rice', 'enter_the_trap', 'eat_grain', 'be_a_pet']"
50,keyboard,[]
51,oven,"['brown_chicken', 'warm_a_meal', 'roast', 'cool_its_temperature', 'warm_a_pie', 'heat_a_meal', 'bake']"
52,clock,"['continue_to_tick', 'time_a_race', 'continue_ticking', 'fail_to_work', 'wind_down', 'be_working_correctly', 'time_an_event', 'tell_time', 'stop_working', 'face_the_doorway']"
53,scissors,"['cut_that_paper', 'cut_cardboard', 'tear_cloth', 'part_paper', 'become_blunt', 'tear_paper']"
54,hair_drier,[]
55,tooth_brush,['rest_upon_a_desk_top']
